cnn
convolutional neural network
deep neural network
boltzmann
autoencoder
belief network
recurrent neural network
rnn
stochastic gradient descent
sgd
lstm
long shortterm memory
long short term memory
gan
generative adversarial network
adversarial network
perceptron
extreme gradient boosting
xgb
xgboost
adaboost
decision tree
lgbm
lightgbm
light gradient boosting machine
random forest
linear regression
logistic regression
naive bayes
k means
nearest neighbor
nearest neighbour
knn
markov chain monte carlo
mcmc
principal component analysis
pca
linear discriminant analysis
lda
support vector machine
support vector machines
svc
support vector classifier
svm
