colors
#fba551
#2a6aa7
#515350
#b165b1
#fdd12c
#aea6d0
#a6c1d9
#e0f5bc
#605aa3
#f9690b
#c2c9e0
#798dbc
#fbcfe6
#f1bbdc
#6ec06d
#55b994
#c1e7bb
#d9a773
#dc72b7
#94d443
#a3dc75
#dc0176
#f266b1
#fffd80
#f7690b
#94431e
#463e38
